geonameid,name,asciiname,alternatenames,latitude,longitude,feature class,feature code,country code,cc2,admin1 code,admin2 code, admin3 code, admin4 code,population,elevation,dem,timezone,modification date 
2803560,Zwickau,Zwickau,"Cvikau,Cvikava,Cvikkau,Cygnea,Gorad Cvikau,Stadt Zwickau,Swikawa,Zwickau,cheubikau,ci wei kao,tsfykaw,tsuvu~ikkau,tswykaw,Šwikawa,Горад Цвікау,Цвикау,Цвиккау,Цвікау,צוויקאו,تسفيكاو,تسویکاو,ツヴィッカウ,茨维考,츠비카우",50.72724,12.48839,P,PPLA3,DE,NA,13,00,14524,14524330,98796,NA,267,Europe/Berlin,2015-09-05
2803620,Zweibrücken,Zweibruecken,"Cvajbriken,Cvajbrjukken,Deux Ponts,Deux-Ponts,Dos Puentes,Zweebrigge,Zweibrucken,Zweibruecken,Zweibrücken,ci wei bu lu ken,tsuvu~aiburyukken,tswaybrwkn,Цвайбрюккен,Цвајбрикен,تسوایبروکن,ツヴァイブリュッケン,茨魏布吕肯",49.24686,7.36977,P,PPLA3,DE,NA,08,00,7320,7320000,35221,NA,242,Europe/Berlin,2015-09-05
2803723,Zulpich,Zulpich,"Cjul'pikh,Slaget vid Tulpiacum,Tolbiac,Zuelpich,Zulpich,Zülpich,Цюльпих",50.69447,6.65414,P,PPL,DE,NA,07,053,5366,5366044,20208,NA,174,Europe/Berlin,2015-09-04
2803870,Zossen,Zossen,"Cosen,Cossen,Sosny,Zossen,cuo sen,swzh,Цосен,Цоссен,Ցոսեն,سوزه,措森",52.216,13.44909,P,PPL,DE,NA,11,00,12072,12072477,17138,NA,41,Europe/Berlin,2015-09-05
2804008,Zittau,Zittau,"Citau,Citava,Cittau,Sitavia,Tsitaou,ZIT,Zitava,Zitawa,Zittau,Zytawa,qi tao,tsu~ittau,tsu~ittauno,tsyta,tsytaw,Żytawa,Žitava,Žitawa,Žytawa,Τσιτάου,Цитау,Циттау,Ціттаў,تسيتاو,تسیتا,ツィッタウ,ツィッタウの,齐陶",50.89772,14.80764,P,PPL,DE,NA,13,00,14626,14626610,25785,NA,253,Europe/Berlin,2015-09-05
2804034,Zirndorf,Zirndorf,"Cirndorf,Zimdorf,qi er en duo fu,tsyndwrf,tsyrndwrf,Цирндорф,Ցիրնդորֆ,تسيرندورف,تسیندورف,齐尔恩多夫",49.4424,10.95414,P,PPLA3,DE,NA,02,095,9573,9573134,25734,NA,309,Europe/Berlin,2014-01-15
2804748,Zerbst,Zerbst,"Cerbst,Serbisco,Serbišćo,Servesta,Zerbst,Zerbst/Anhalt,ce er bu si te,tsbrst,Цербст,تسبرست,策尔布斯特",51.9662,12.08517,P,PPL,DE,NA,14,00,15082,15082430,15680,NA,67,Europe/Berlin,2015-09-04
2804922,Zeitz,Zeitz,"Cajc,Ceicas,Cice [a. 1140],Zeitz,Zitc,cai ci,tsayts,tsaytz,zyyz,Žitč,Цайц,Цајц,צייץ,تسایتز,تسایتس,蔡茨",51.04962,12.1369,P,PPL,DE,NA,14,00,15084,15084590,29469,NA,191,Europe/Berlin,2015-09-04
2805059,Zehlendorf,Zehlendorf Bezirk,"Berlin-Zehlendorf,Celendorf,Zehlendorf  Berlin,zlndwrp,Целендорф,צלנדורף",52.43333,13.25,P,PPLX,DE,NA,16,00,11000,11000000,58469,NA,46,Europe/Berlin,2017-09-19
2805385,Xanten,Xanten,"Castra Vetera,Gorad Ksantehn,Ksanten,Sante,Santen,Xanten,Xantum,ke sang teng,kusanten,Горад Ксантэн,Ксантен,クサンテン,克桑滕",51.65877,6.45297,P,PPL,DE,NA,07,051,5170,5170052,21587,NA,24,Europe/Berlin,2017-08-02
2805597,Wurzen,Wurzen,"Gorad Vurcehn,Vurcen,Vurcene,Worcyn,Wurzen,fwrtsn,wu er cen,wwrtsn,Вурцен,Горад Вурцэн,فورتسن,وورتسن,武尔岑",51.3707,12.73939,P,PPL,DE,NA,13,00,14729,14729410,15233,NA,126,Europe/Berlin,2015-09-05
2805615,Würzburg,Wuerzburg,"Birtsmpournk,Gorad Vjurcburg,Herbipolis,Herbopolis,Vircburg,Vircburga,Virteburh [a. 704],Virtibriga,Viurcburgas,Vjurcburg,Vuirziburga [a. 779],Vyurcʻburg,Wiazburg,Wirciburc,Wirzaburg [a. 742],Wirziburg [a. 779],Wuerzboerj,Wuerzburg,Wurtzbourg,Wurtzburgo,Wurzburg,Wurzburgo,Wûrzburg,Würzburg,Würzbörj,bwileucheubuleukeu,fwrtsbwrgh,viurtsburgi,vu~yurutsuburuku,wei er ci bao,weu xr sburk,wrzbrg,wwrtsbwrg,wyrzbwrg,Βίρτσμπουργκ,Вирцбург,Вюрцбург,Горад Вюрцбург,Վյուրցբուրգ,וירצבורג,فورتسبورغ,ورزبرگ,وورتسبورگ,เวือร์ซบูร์ก,ვიურცბურგი,ヴュルツブルク,维尔茨堡,뷔르츠부르크",49.79391,9.95121,P,PPLA2,DE,NA,02,096,9663,9663000,133731,NA,204,Europe/Berlin,2014-12-19
2805644,Würselen,Wuerselen,"Virselen,Vjurzelen,Woeschele,Woesjele,Wuerselen,Wurselen,Wöschele,Wösjele,Würselen,fwrsln,wei er sai lun,wwrsln,Вирселен,Вюрзелен,فورسلن,وورسلن,维尔塞伦",50.81809,6.1347,P,PPL,DE,NA,07,053,5334,5334036,37074,NA,190,Europe/Berlin,2015-09-04
2805753,Wuppertal,Wuppertal,"Boupertal,Gorad Vupertal',UWP,Vupertal,Vupertale,Vupertalis,Vupertāle,Vuppertal,Vuppertal',Wupperdaal,Wuppertal,bupeotal,fwbrtal,vupartala,vuppataru,wu po ta er,wuph phe xrthal,wwprtal,wwprtl,Βούπερταλ,Вупертал,Вупперталь,Горад Вуперталь,Վուպերտալ,וופרטל,فوبرتال,ووپاٹال,ووپرتال,وپرٹال,वुपर्टाल,วุพเพอร์ทัล,ვუპერტალი,ヴッパータール,伍珀塔尔,부퍼탈",51.27027,7.16755,P,PPLA3,DE,NA,07,051,5124,5124000,360797,NA,189,Europe/Berlin,2015-09-04
2805761,Wunstorf,Wunstorf,"Vunstorf,Wunstorf,fwnstwrf,wen si tuo fu,wwnstwrf,Вунсторф,فونستورف,وونستورف,文斯托夫",52.42377,9.43585,P,PPL,DE,NA,06,00,3241,3241021,42080,NA,47,Europe/Berlin,2015-09-04
2805910,Wülfrath,Wuelfrath,"Vilfrat,Viulfratas,Vjul'frat,Wuelfrath,Wülfrath,fwlfrat,wei er fu la te,wwlfrat,Вилфрат,Вюльфрат,فولفرات,وولفرات,维尔夫拉特",51.28195,7.03821,P,PPL,DE,NA,07,051,5158,5158036,22355,NA,189,Europe/Berlin,2015-09-05
2806081,Wörth am Rhein,Woerth am Rhein,"Vert na Rajni,Vjort-am-Rajn,Vjort-na-Rejne,Woerth am Rhein,Worth,Worth am Rhein,Wörth,Wörth am Rhein,fwrth am rayn,lai yin he pan wei er te,wwrth an dr rayn,Верт на Рајни,Вёрт-ам-Райн,Вёрт-на-Рейне,فورث آم راين,وورث آن در راین,莱茵河畔韦尔特",49.04888,8.25959,P,PPL,DE,NA,08,00,7334,7334501,17272,NA,116,Europe/Berlin,2015-09-05
2806142,Worms,Worms,"Borbetomagus,Gorad Vorms,Vormatia,Vorms,Vormsa,Vormsas,Woms,Wormacja,Wormatia,Worms,ZQV,boleumseu,fwrms,vu~orumusu,wo er mu si,wrmz  alman,wwrms,Βορμς,Вормс,Горад Вормс,ווארמז,וורמס,فورمس,ورمز، آلمان,ቩርምዝ,ヴォルムス,沃尔姆斯,보름스",49.63278,8.35916,P,PPLA3,DE,NA,08,00,7319,7319000,81099,NA,104,Europe/Berlin,2017-09-22
2806654,Wolfsburg,Wolfsburg,"BWE,Gorad Vol'fsburg,Vol'fsburg,Volfsburg,Volfsburgas,Volfsmpournk,Wolfsboerj,Wolfsbourg,Wolfsburg,Wolfsburgo,Wolfsbuurich,Wolfsbörj,Wulfsborg,bolpeuseubuleukeu,fwlfsbwrgh,volpsburgi,vu~orufusuburuku,wlfzbrg,wo er fu si bao,wwlfsbwrg,wwlfzbwrg,wwlpsbwrg,Βόλφσμπουργκ,Волфсбург,Вольфсбург,Горад Вольфсбург,Վոլֆսբուրգ,וולפסבורג,فولفسبورغ,ولفزبرگ,وولفزبورگ,وولفسبورگ,ვოლფსბურგი,ヴォルフスブルク,沃尔夫斯堡,볼프스부르크",52.42452,10.7815,P,PPLA3,DE,NA,06,00,3103,3103000,123064,NA,62,Europe/Berlin,2016-11-25
2806768,Wolfratshausen,Wolfratshausen,"Vol'fratsgauzen,Vol'fratskhauzen,Volfratshauzen,Volfratskhauzen,fwlfratshawzn,wlfratzhawzn,wo er fu la ci hao sen,Волфратсхаузен,Вольфратсгаузен,Вольфратсхаузен,Վոլֆրատսհաուզեն,فولفراتسهاوزن,ولفراتزهاوزن,沃尔夫拉茨豪森",47.91289,11.42166,P,PPL,DE,NA,02,091,9173,9173147,17191,NA,578,Europe/Berlin,2013-02-19
2806914,Wolfenbüttel,Wolfenbuettel,"Guelpherbytum,Vol'fenbjuttel',Volfembutel,Volfenbitel,Volfenbjutel,Wolfenbuettel,Wolfenbuttel,Wolfenbüttel,Wulfenbuettel,Wulfenbüttel,fwlfnbwtl,wlfnbwtl,wo er fen bi te er,Волфенбител,Волфенбютел,Вольфенбюттель,فولفنبوتل,ولفنبوتل,沃爾芬比特爾",52.16442,10.54095,P,PPLA3,DE,NA,06,00,3158,3158037,54740,NA,80,Europe/Berlin,2015-09-04
2806919,Wolfen,Wolfen,"Gorad Vol'fen,Vol'fen,Volfen,Wolfen,Волфен,Вольфен,Горад Вольфен",51.66122,12.26873,P,PPL,DE,NA,14,00,15082,15082015,25251,NA,90,Europe/Berlin,2015-09-05
2807184,Witzenhausen,Witzenhausen,"Vicenkhauzen,Vitcengauzen,Vitcenkhauzen,Vitsenhauzen,Witzenhausen,Witzenhusa,fytsnhawzn,vu~ittsu~enhauzen,wei cen hao sen,Витценхаузен,Виценхаузен,Вітценгаузен,فيتسنهاوزن,ویتسن‌هاوزن,ヴィッツェンハウゼン,维岑豪森",51.34103,9.8554,P,PPL,DE,NA,05,066,6636,6636016,16055,NA,151,Europe/Berlin,2015-09-05
2807201,Wittstock,Wittstock,NA,53.16118,12.48287,P,PPL,DE,NA,11,00,12068,12068468,17361,NA,66,Europe/Berlin,2015-09-04
2807218,Wittmund,Wittmund,"Vitmund,Witmundi,Wittmund,fytmwnd,wei te meng de,wytmwnd,Витмунд,فيتموند,ویتموند,维特蒙德",53.57674,7.77839,P,PPLA3,DE,NA,06,00,3462,3462019,21355,NA,4,Europe/Berlin,2015-09-04
2807240,Wittlich,Wittlich,"Vitlikh,Vittlikh,Wittlech,Wittlich,fytlysh,vu~ittorihi,wei te li xi,wytlysh,Витлих,Виттлих,فيتليش,ویتلیش,ვიტლიხი,ヴィットリヒ,维特利希",49.98596,6.89308,P,PPLA3,DE,NA,08,00,7231,7231134,17887,NA,178,Europe/Berlin,2015-09-05
2807344,Wittenberge,Wittenberge,"Vitenberge,Vittenberge,Wittenberge,wei teng bei ge,wytnbrg,Витенберге,Виттенберге,ویتنبرگ,维滕贝格",53.00543,11.75032,P,PPL,DE,NA,11,00,12070,12070424,20171,NA,23,Europe/Berlin,2015-09-05
2807360,Wittenau,Wittenau,Berlin-Wittenau,52.59319,13.32127,P,PPLX,DE,NA,16,00,11000,11000000,29054,NA,41,Europe/Berlin,2012-06-09
2807363,Witten,Witten,"Gorad Vitehn,Viten,Vitenas,Vitten,Witten,ZQR,biten,fytn,vu~itten,wei teng,wytn,Витен,Виттен,Віттен,Горад Вітэн,فيتن,ویتن,ویٹن,ヴィッテン,维滕,비텐",51.44362,7.35258,P,PPL,DE,NA,07,059,5954,5954036,101247,NA,119,Europe/Berlin,2015-09-04
2807465,Wismar,Wismar,"Gorad Vismar,Vismar,Vismara,Vismaras,Vismāra,Vizmar,Wismar,Wismer,Wysmar,Wyszomierz,vismari,vu~isumaru,wei si ma,wysmar,wysmr,Визмар,Висмар,Вісмар,Горад Вісмар,Վիսմար,ויסמר,ويسمار,ویسمار,ვისმარი,ヴィスマール,维斯马",53.89314,11.45286,P,PPLA3,DE,NA,12,00,13074,13074087,45255,NA,1,Europe/Berlin,2015-09-05
